s,p,o
http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#chudian-5fcb172f2ec5c2905641e29d77f2ac3a,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#diangonglu:-0c8310ad0e769842dfb3be35dd9843fb,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianliuhedianlu-156299df1090057da6115ad9c00749f4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianyahedianzu-3d4eb0a89ff74694d14f7c4c2041365e,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#dianyuci-75a3049224c24cf45376e440160fb22d,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#fenzireyundong-c7dae285069552c2a9a34b4d4190d931,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#fuli-95603137008a15009750c183ae10f173,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#gong-c8bcddc7a6724648007e6d772423c3b1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#guangdechuanbo-c196e9a872291f17bf5808a1a35a345a,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#guangdefanshe-569a01647a219fca696bfe83426ddecf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#guangdeganshe-dc84ec551b64224b4137fd59a7c03169,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#guangdesesan-f44daa91117b2799dba71a5770017738,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#guangdeyanshe-8ac9ee87483d4750992dfe7e8005e267,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#guangdezheshe-f732207ea1b7f0f48dda800eb5882fcd,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jiandanjixie-4d2da79173fea2313dd9acb1b0c70ef2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jiaobiandianliu-9069a38284bc2ac6c4504cd58e15cb10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jiatingdianlu-e36a35e51658a724da981214bed022ef,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jieheneng-ac1abefbcc02ba1b1e66b0ea6bd0f734,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jingdianchang-8e84ddde861335f6a4aa8c044c61ac81,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jixienengjiqizhuanhua-d11f08a13d00162938883538ca8e3167,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#jixieyundong-65a171761e24576c2d855f8385de97f5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#li-644f74dc1da60feb6023231d81b42f7c,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#lizi-06457a49b65955ee1a2f5db216143cc7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#neineng-594a8eb2f46dda2a2c10f2c56af819eb,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#oumudinglu:-82d3ffb9aa86cde8785082b21ab960fe,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/class/physics#qihuaheyehua-b0327451f08fa2526d813dd6b8259112,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
